section,subject,chapter,mcq_count
Main,Anatomy,Cranial Foramen Fossa,9
Main,Anatomy,Tongue,10
Main,Anatomy,Temporomandibular Joint & Muscles of Mastication,9
Main,Anatomy,Dural Venous Sinus & Cavernous Sinus,5
Main,Anatomy,Cranial Nerves,28
Main,Anatomy,Auditory Pathway,3
Main,Anatomy,"Pharynx, Larynx & Carotid Sheath",18
Main,Anatomy,"Blood Vessels of Head & Neck, Subclavian Artery, Scalenus Anterior Muscle, Veins of Face & Transverse Section of the Neck",10
Main,Anatomy,Triangles of Neck,11
Main,Anatomy,Introduction and Spinal Cord,18
Main,Anatomy,"White Matter - Association & Commisural Fibres, White Matter - Projection Fibers Descending Tracts, White Matter - Projection Fibers Ascending Tracts",26
Main,Anatomy,"Brodmann Area, Ventral, Dorsal Aspect of Brainstem",8
Main,Anatomy,"Blood Supply of Brain, Basal Ganglia Internal Capsule",8
Main,Anatomy,"Brainstem (Midbrain, Pons and Medulla)",11
Main,Anatomy,"Cranial Nerve Nuclei, Lateral Ventricles & Third Ventricle",2
Main,Anatomy,Cerebellum,18
Main,Anatomy,Thoracic Wall & Intercostal Space,20
Main,Anatomy,"Intercostal Artery, Intercostal Vein and Intercostal Nerve",15
Main,Anatomy,Coronary Circulation & Venous Drainage of Heart,8
Main,Anatomy,"Pleura, Recess, Sibsons Fascia",6
Main,Anatomy,Tracheobronchial Tree & Root of Lung,6
Main,Anatomy,"Mediastinal Surface of Lungs & Thoracic Duct, Mediastinum, Bronchopulmonary Segments",24
Main,Anatomy,"Anterior Abdominal Wall, Inguinal Canal",10
Main,Anatomy,"Rectus Sheath, Posterior Abdominal Wall, Thoracolumbar Fascia",15
Main,Anatomy,"Stomach, Diaphragm, Abdominal Aorta & Celiac Trunk",15
Main,Anatomy,"Superior Mesenteric Artery, Inferior Mesenteric Artery, Peritoneum",5
Main,Anatomy,"Ivc, Portal Vein, Portocaval Anastomosis",6
Main,Anatomy,"Liver, Kidney",40
Main,Anatomy,Brachial Plexus & Its Clinical Co-relation,16
Main,Anatomy,"Muscles of Arm & Forearm, Anatomical Snuff Box, Exterior Retinaculum & Muscles of Hand",30
Main,Anatomy,Major Nerves of Upper Limb & Pectoral Region,20
Main,Anatomy,"Axillary Artery, Scapular Anastomosis & Brachial Artery",5
Main,Anatomy,"Palmar Arches, Carpal Tunnel & Cubital Fossa",14
Main,Anatomy,"Lumbosacral Plexes, Common Peroneal Nerve & Major Nerves",12
Main,Anatomy,Tibial Nerve & Sole of Foot,13
Main,Anatomy,"Femoral Nerve, Obturator Nerve, Femoral Triangle, Femoral Sheath, Femoral Canal, Femoral Ring & Adductor Canal",30
Main,Anatomy,"Gluteal Region, Greater & Lesser Sciatic Foramen, Iliotibial Tract (Fascia of Thigh Fascia Lata)",20
Main,Anatomy,Arches of Foot,3
Main,Anatomy,Pelvis & Perineum,30
Main,Anatomy,General Embryology,15
Main,Anatomy,Second and Third week of Development,15
Main,Anatomy,Development of Heart,30
Main,Anatomy,Gut Embryology,19
Main,Anatomy,"Embryology of Face, Pharynx, Tongue, Palate, Thyroid Gland, Diaphragm & Respiratory System",20
Main,Anatomy,CNS Embryology,15
Main,Anatomy,General Anatomy,28
Main,Anatomy,Epithelium,17
QRP,Anatomy,Upper Limb,23
QRP,Anatomy,Lower Limb,25
QRP,Anatomy,Thorax,25
QRP,Anatomy,Abdomen,25
QRP,Anatomy,Pelvis,20
QRP,Anatomy,Head & Neck - 1,25
QRP,Anatomy,Head & Neck - 2,24
QRP,Anatomy,Spinal Cord and Brainstem,25
QRP,Anatomy,Other Parts of Brain,26
QRP,Anatomy,Embryology - 1,20
QRP,Anatomy,Embryology - 2,20
QRP,Anatomy,Histology,25
QRP,Anatomy,General Anatomy & Genetics,15
PYQ,Anatomy,NEET PG 2025,14
PYQ,Anatomy,NEET PG 2024,16
PYQ,Anatomy,NEET PG 2023,8
PYQ,Anatomy,NEET PG 2022,5
PYQ,Anatomy,NEET PG 2021,7
PYQ,Anatomy,NEET PG 2020,18
PYQ,Anatomy,INI CET Nov 2025,12
PYQ,Anatomy,INI CET MAY 2025,12
PYQ,Anatomy,INI CET Nov 2024,15
PYQ,Anatomy,INI CET May 2024,11
PYQ,Anatomy,INI CET Nov 2023,14
PYQ,Anatomy,INI CET May 2023,12
PYQ,Anatomy,INI CET Nov 2022,19
PYQ,Anatomy,INI CET May 2022,13
PYQ,Anatomy,INI CET Nov 2021,9
PYQ,Anatomy,INI CET May 2021,14
PYQ,Anatomy,INI CET Nov 2020,14
PYQ,Anatomy,INI CET May 2020,11
Main,Physiology,Homeostasis and Body Fluids,34
Main,Physiology,Cellular Physiology,10
Main,Physiology,Nerve Fibers,13
Main,Physiology,Neuromuscular Junction,27
Main,Physiology,"Motor Tract, Cortex and Lesion",18
Main,Physiology,Sleep and Memory,24
Main,Physiology,Spinal Cord and Sensory Tract,29
Main,Physiology,Cerebellum,23
Main,Physiology,Conductive System of Heart,31
Main,Physiology,Cardiac Cycle and Cardiac Output,18
Main,Physiology,Regional Circulation and Disturbances,34
Main,Physiology,"Anatomy and Functions, Mechanism of Ventilation",8
Main,Physiology,"Lung Volume, Capacities and Compliance",9
Main,Physiology,"Diffusion, Dead Space and Hypoxia",25
Main,Physiology,Integrated Physiology,25
Main,Physiology,RBC and Hemoglobin,14
Main,Physiology,WBC and Immunity,19
Main,Physiology,Hemostatic and Antihemostatic Mechanism,21
Main,Physiology,General Considerations,16
Main,Physiology,Hypothalamus,20
Main,Physiology,Thyroid,13
Main,Physiology,Calcium Regulating Hormones,11
Main,Physiology,Pancreatic Hormones,7
Main,Physiology,Adrenal Gland,15
Main,Physiology,Sexual Growth and Development and Puberty,14
Main,Physiology,Female and Male Reproduction,23
Main,Physiology,GIT,18
Main,Physiology,Digestion and Absorption,21
Main,Physiology,Nephron and Glomerular Filtration,15
Main,Physiology,Tubular Function and Micturition,16
Main,Physiology,Vision,15
Main,Physiology,"Hearing and Equilibrium, Smell and Taste",9
QRP,Physiology,Somatic Sensation,13
QRP,Physiology,Motor System,24
QRP,Physiology,Nerve & Muscle Physiology,23
QRP,Physiology,"Hypothalamus, Neurotransmitters and Higher Functions",17
QRP,Physiology,Special Sense,19
QRP,Physiology,Hemodynamic of Circulation,18
QRP,Physiology,ECG and Cardiac Output,20
QRP,Physiology,Gastrointestinal System,27
QRP,Physiology,General Physiology,17
QRP,Physiology,Respiratory Physiology,21
QRP,Physiology,Endocrine System- 1,15
QRP,Physiology,Endocrine System- 2,16
QRP,Physiology,Renal Physiology,10
QRP,Physiology,Reproductive System,10
PYQ,Physiology,NEET PG 2025,6
PYQ,Physiology,NEET PG 2024,11
PYQ,Physiology,NEET PG 2023,9
PYQ,Physiology,NEET PG 2022,6
PYQ,Physiology,NEET PG 2021,5
PYQ,Physiology,NEET PG 2020,17
PYQ,Physiology,INI CET May 2026,15
PYQ,Physiology,INI CET Nov 2025,9
PYQ,Physiology,INI CET MAY 2025,10
PYQ,Physiology,INICET Nov 2024,13
PYQ,Physiology,INI CET May 2024,10
PYQ,Physiology,INI CET Nov 2023,8
PYQ,Physiology,INI CET May 2023,8
PYQ,Physiology,INI CET Nov 2022,15
PYQ,Physiology,INI CET May 2022,9
PYQ,Physiology,INI CET Nov 2021,9
PYQ,Physiology,INI CET May 2021,13
PYQ,Physiology,INI CET Nov 2020,13
PYQ,Physiology,INI CET May 2020,9
Main,Pathology,Cellular Pathology And Cell Injury (Part 1),27
Main,Pathology,Immunity and Hypersensitivity (Part 1),27
Main,Pathology,Cellular Pathology And Cell Injury (Part 2),26
Main,Pathology,Immunity and Hypersensitivity (Part 2),26
Main,Pathology,Neoplasia (Part 1),30
Main,Pathology,Neoplasia (Part 2),30
Main,Pathology,Inflammation (Part 1),33
Main,Pathology,Inflammation (Part 2),33
Main,Pathology,Inflammation (Part 3),32
Main,Pathology,Cell as a Unit of Health and Disease,16
Main,Pathology,Genetic Disorders,35
Main,Pathology,Hemodynamics,31
Main,Pathology,Red Blood Cell Disorders (Part 1),22
Main,Pathology,Red Blood Cell Disorders (Part 2),21
Main,Pathology,White Blood Cell Disorders (Part 1),32
Main,Pathology,White Blood Cell Disorders (Part 2),32
Main,Pathology,Platelet Disorders,27
Main,Pathology,Blood Banking & Transfusion Medicine,18
Main,Pathology,CVS (Part 1),23
Main,Pathology,CVS (Part 2),23
Main,Pathology,Lung (Part 1),30
Main,Pathology,Lung (Part 2),29
Main,Pathology,GIT,28
Main,Pathology,HBP (Part 1),30
Main,Pathology,HBP (Part 2),30
Main,Pathology,Kidney (Part 1),36
Main,Pathology,Kidney (Part 2),35
Main,Pathology,Female Genital Tract,24
Main,Pathology,Male Genital Tract,28
Main,Pathology,Breast,14
Main,Pathology,Endocrine System,26
Main,Pathology,CNS (Part 1),24
Main,Pathology,CNS (Part 2),24
Main,Pathology,Skin,32
Main,Pathology,Head & Neck and Rheumatological Disorders,25
Main,Pathology,Miscellaneous,15
Main,Pathology,Bone,14
Main,Pathology,Soft Tissue,15
QRP,Pathology,Cell as a Unit of Health and Disease,5
QRP,Pathology,Cell Injury,11
QRP,Pathology,Inflammation and Repair,14
QRP,Pathology,Hemodynamics,13
QRP,Pathology,Genetics,20
QRP,Pathology,Immune System,15
QRP,Pathology,Neoplasia,15
QRP,Pathology,Infectious Diseases,10
QRP,Pathology,Environmental and Nutritional Diseases,17
QRP,Pathology,Diseases of Infancy and Childhood,15
QRP,Pathology,The Pancreas,5
QRP,Pathology,Heart & Blood Vessels,16
QRP,Pathology,Hematology,25
QRP,Pathology,Lung,15
QRP,Pathology,Gastrointestinal System,15
QRP,Pathology,Head & Neck,9
QRP,Pathology,Hepatobiliary System,10
QRP,Pathology,Kidney,15
QRP,Pathology,The Lower Urinary Tract,10
QRP,Pathology,Male Genital Tract,13
QRP,Pathology,Female Genital Tract,12
QRP,Pathology,Breast,10
QRP,Pathology,Endocrine System,15
QRP,Pathology,Skin,8
QRP,Pathology,Bone and Joints,10
QRP,Pathology,Soft Tissue,10
QRP,Pathology,Peripheral Nerves,10
QRP,Pathology,Central Nervous System,15
PYQ,Pathology,NEET PG 2025,19
PYQ,Pathology,NEET PG 2024,31
PYQ,Pathology,NEET PG 2023,12
PYQ,Pathology,NEET PG 2022,10
PYQ,Pathology,NEET PG 2021,15
PYQ,Pathology,NEET PG 2020,27
PYQ,Pathology,NEET PG 2019,17
PYQ,Pathology,NEET PG 2018,18
PYQ,Pathology,INI CET Nov 2025,14
PYQ,Pathology,INI CET MAY 2025,10
PYQ,Pathology,INI-CET  Nov 2024,23
PYQ,Pathology,INI CET MAY 2024,21
PYQ,Pathology,INI CET Nov 2023,19
PYQ,Pathology,INI CET May 2023,18
PYQ,Pathology,INI CET Nov 2022,38
PYQ,Pathology,INI CET May 2022,21
PYQ,Pathology,INI CET Nov 2021,14
PYQ,Pathology,INI CET May 2021,21
PYQ,Pathology,INI CET Nov 2020,19
PYQ,Pathology,INI CET May 2020,19
Main,Pharmacology,Basic Principles of Pharmacology (Part 1),23
Main,Pharmacology,Basic Principles of Pharmacology (Part 2),22
Main,Pharmacology,"Cholinergic Drugs, Anticholinergic Drugs",37
Main,Pharmacology,"Adrenergic Drugs, Alpha1 Blockers, Beta-Blockers",31
Main,Pharmacology,Antihypertensives and Hypolipidemic Drugs (Part 1),22
Main,Pharmacology,Antihypertensives and Hypolipidemic Drugs (Part 2),21
Main,Pharmacology,Heart Failure Management   & Anti-Arrhythmic Drugs,37
Main,Pharmacology,Diuretics,25
Main,Pharmacology,Autacoids (Part 1),19
Main,Pharmacology,Autacoids (Part 2),19
Main,Pharmacology,Drugs That Act In Respiratory System,19
Main,Pharmacology,GI Pharmacology,33
Main,Pharmacology,"Benzodiazepines, Barbiturates & Anti-Epileptics",33
Main,Pharmacology,Anaesthetic Pharmacology,29
Main,Pharmacology,"Parkinsonism & Other Movement Disorders Management, Alzheimer Drugs",15
Main,Pharmacology,Psychiatric Pharmacology,13
Main,Pharmacology,"Opioids And Drugs Of Abuse, Alcohol",18
Main,Pharmacology,Hematology,30
Main,Pharmacology,Steroids and Calcium metabolism,13
Main,Pharmacology,Thyroid and Antithyroid drugs,22
Main,Pharmacology,Drugs for Diabetes,40
Main,Pharmacology,Hypothalamus and Pituitary drugs,16
Main,Pharmacology,Anti - Fungal Drugs,14
Main,Pharmacology,"Antiviral Agents (Herpes, HIV, Influenza, HBV And HCV)",17
Main,Pharmacology,Anti - Parasitic Drugs,19
Main,Pharmacology,"Anti-Cancer Drugs, Immunosuppressants and Immunomodulators",13
Main,Pharmacology,"Cell wall synthesis, Folate and DNS gyrase inhibitors",28
Main,Pharmacology,Protein Synthesis Inhibitors,16
Main,Pharmacology,Antimycobacterial & Anti-Leprosy Drugs,28
QRP,Pharmacology,Basic Pharmacology,25
QRP,Pharmacology,Autonomic Nervous System,25
QRP,Pharmacology,"Anti-hypertensives, Vasodilators, Drugs for Dyslipidemia & Antianginal Drugs",15
QRP,Pharmacology,"Heart Failure management, Antiarryhtmics, Drugs for MI & PAH, Diuretics",25
QRP,Pharmacology,Autocoids,25
QRP,Pharmacology,Drugs Act in Respiratory System,20
QRP,Pharmacology,Drugs Acting in GI System,25
QRP,Pharmacology,"Benzodiazepines & Barbiturates & Antiepileptics, LA & SMR",17
QRP,Pharmacology,"Parkinsonism and Movement Disorder, Alzheimers, Antipsychotics, Opioids",22
QRP,Pharmacology,"Heparin, LMWH, Direct Thrombin Inhibitors, Thromolytics, Warfarin & Antiplatelets",20
QRP,Pharmacology,"Anterior Pitutary Hormones, Male & Female Hormones, Serms, Antiandrogens, Aromatase Inhibitors, Iodides, Bisphosphonate & PTH",25
QRP,Pharmacology,"Insulin, Biguanides, OHA, GLP-1, DPP4, Glucocorticoids, Mineralocorticoids",15
QRP,Pharmacology,"Antibacterial, Antimycobacterial & Antifungal Drugs",20
QRP,Pharmacology,"Antiviral, Antimalarial & Antineoplastic Agents",20
PYQ,Pharmacology,NEET PG 2025,14
PYQ,Pharmacology,NEET PG 2024,24
PYQ,Pharmacology,NEET PG 2023,15
PYQ,Pharmacology,NEET PG 2022,20
PYQ,Pharmacology,NEET PG 2021,16
PYQ,Pharmacology,NEET PG 2020,23
PYQ,Pharmacology,NEET PG 2019,26
PYQ,Pharmacology,NEET PG 2018,17
PYQ,Pharmacology,INI CET Nov 2025,7
PYQ,Pharmacology,INI CET MAY 2025,13
PYQ,Pharmacology,INI CET Nov 2024,11
PYQ,Pharmacology,INI CET May 2024,16
PYQ,Pharmacology,INI CET Nov 2023,20
PYQ,Pharmacology,INI CET May 2023,20
PYQ,Pharmacology,INI CET Nov 2022,21
PYQ,Pharmacology,INI CET May 2022,27
PYQ,Pharmacology,INI CET Nov 2021,17
PYQ,Pharmacology,INI CET May 2021,18
PYQ,Pharmacology,INI CET Nov 2020,19
PYQ,Pharmacology,INI CET May 2020,13
Main,Forensic Medicine,Introduction & Legal Procedure,20
Main,Forensic Medicine,"BNS, BNSS, BSA, Constitution of India and Bare Acts",28
Main,Forensic Medicine,Identification (Part 1),19
Main,Forensic Medicine,Identification (Part 2),19
Main,Forensic Medicine,Thanatology,30
Main,Forensic Medicine,Autopsy,9
Main,Forensic Medicine,Mechanical Asphyxia,36
Main,Forensic Medicine,Mechanical injuries & RTA,23
Main,Forensic Medicine,Thermal Injuries,26
Main,Forensic Medicine,Firearm & Blast Injuries,27
Main,Forensic Medicine,Regional Injuries,16
Main,Forensic Medicine,Sexual Jurisprudence,28
Main,Forensic Medicine,Infanticide & Child Abuse,21
Main,Forensic Medicine,Starvation and Torture,15
Main,Forensic Medicine,Medical Law & Ethics,27
Main,Forensic Medicine,Forensic Science,11
Main,Forensic Medicine,Forensic Psychiatry,10
Main,Forensic Medicine,Toxicology (Part 1),30
Main,Forensic Medicine,Toxicology (Part 2),36
QRP,Forensic Medicine,Legal procedure,12
QRP,Forensic Medicine,Medical Law & Ethics,20
QRP,Forensic Medicine,Identification,19
QRP,Forensic Medicine,Autopsy,5
QRP,Forensic Medicine,Thanatology,18
QRP,Forensic Medicine,Mechanical Injuries & RTA,11
QRP,Forensic Medicine,Firearm & Blast Injuries,17
QRP,Forensic Medicine,Regional Injuries,6
QRP,Forensic Medicine,Thermal Injuries,11
QRP,Forensic Medicine,Mechanical Asphyxia,25
QRP,Forensic Medicine,Sexual Jurisprudence,26
QRP,Forensic Medicine,Forensic Science,5
QRP,Forensic Medicine,Forensic Psychiatry,8
QRP,Forensic Medicine,Toxicology (Part 1),26
QRP,Forensic Medicine,Toxicology (Part 2),19
QRP,Forensic Medicine,Miscellaneous,15
PYQ,Forensic Medicine,NEET PG 2025,5
PYQ,Forensic Medicine,NEET PG 2024,8
PYQ,Forensic Medicine,NEET PG 2023,7
PYQ,Forensic Medicine,NEET PG 2022,8
PYQ,Forensic Medicine,NEET PG 2021,10
PYQ,Forensic Medicine,NEET PG 2020,9
PYQ,Forensic Medicine,NEET PG 2019,9
PYQ,Forensic Medicine,INI CET Nov 2025,12
PYQ,Forensic Medicine,INI CET MAY 2025,11
PYQ,Forensic Medicine,INI CET Nov 2024,5
PYQ,Forensic Medicine,INI CET May 2024,6
PYQ,Forensic Medicine,INI CET Nov 2023,8
PYQ,Forensic Medicine,INI CET May 2023,7
PYQ,Forensic Medicine,INI CET Nov 2022,11
PYQ,Forensic Medicine,INI CET May 2022,8
PYQ,Forensic Medicine,INI CET Nov 2021,9
PYQ,Forensic Medicine,INI CET May 2021,8
PYQ,Forensic Medicine,INI CET Nov 2020,8
PYQ,Forensic Medicine,INI CET May 2020,8
PYQ,Forensic Medicine,INI CET Nov 2019,8
PYQ,Forensic Medicine,INI CET May 2019,10
Main,ENT,Vocal cord Paralysis and Voice Disorders,20
Main,ENT,Miscellaneous Diseases of Larynx,8
Main,ENT,Cancer Larynx,18
Main,ENT,Basics and Congenital disorders of  Larynx,15
Main,ENT,Tracheostomy and Methods of Larynx Examination,17
Main,ENT,"Glottis, Subglottis and Pediatric Laryngeal Infection",13
Main,ENT,Tonsils and Adenoids,11
Main,ENT,Nasopharyngeal Cancer and Angiofibroma,11
Main,ENT,Abscess of Pharynx,7
Main,ENT,Oropharynx,11
Main,ENT,Anatomy of Pharynx,5
Main,ENT,Nasal Septum and Disorders,9
Main,ENT,"Facial Trauma, CSF, Rhinorrhea",12
Main,ENT,Blood Supply of the Nose and Miscellaneous,12
Main,ENT,Benign and Neoplastic conditions of Nose,30
Main,ENT,Anatomy of Sinuses and Sinusitis,11
Main,ENT,Anatomy of Nose,9
Main,ENT,Acoustic Neuroma,5
Main,ENT,Hearing Devices and Implants,9
Main,ENT,Miscellaneous Disorders of the Ear,7
Main,ENT,Surgical Landmarks and Injuries,7
Main,ENT,Anatomy of inner ear and Vestibular System,21
Main,ENT,Basics and Tuning Fork Tests,9
Main,ENT,Bells palsy and Facial nerve disorders,13
Main,ENT,Diseases of Inner Ear,13
Main,ENT,Embryology of the Ear and External auditory canal,12
Main,ENT,Eustachian tube and Middle ear,23
Main,ENT,Glomus Jugulare and Otosclerosis,9
Main,ENT,Menieres Disease,11
Main,ENT,"Middle Ear Cleft, Asom - safe Csom & Acute Mastoiditis",9
Main,ENT,Pure Tone and audiometry and other tests for hearing,21
Main,ENT,Unsafe Csom,17
QRP,ENT,"Audiology and Examination of Ear, Anatomy and Congenital Deformity, Vestibular Disorders",17
QRP,ENT,"Serous Otitis Media and Eustachian Tube Disorder, CSOM, External and Middle Ear Disorders",15
QRP,ENT,"External Ear Disorders, Otosclerosis and Cochlear Disorders, Hearing Rehabilitation, Facial Nerve and Ear Trauma, Benign and Malignant Tumors of Ear",15
QRP,ENT,"Anatomy, Nasal Polyps, Granulomatous Conditions of Nose, Congenital Conditions of Nose",20
QRP,ENT,"Complications of Sinusitis, Benign and Malignant Tumors of Nose, Facial Skeleton Trauma",22
QRP,ENT,Pharynx and Oral Cavity,21
QRP,ENT,"Pharynx and Oral Cavity, Thyroid Disorders",21
QRP,ENT,"Disorders of Salivary Glands, Neck Anatomy, Neck Dissection, Oropharyngeal and Oral Cavity Cancers, Reconstructive Surgery",23
QRP,ENT,"Anatomy, Infection and Inflammatory Conditions of Larynx, Congenital Conditions of Larynx, Vocal Cord Paralysis, Speech Disorders",25
QRP,ENT,"Speech Disorders, Benign and Malignant Tumors of Larynx, Foreign Body and Tracheostomy, Radiotherapy and Chemotherapy, Neck Metastasis With Unknown Primary",21
PYQ,ENT,NEET PG 2025,6
PYQ,ENT,NEET PG 2024,8
PYQ,ENT,NEET PG 2023,6
PYQ,ENT,NEET PG 2022,9
PYQ,ENT,NEET PG 2021,6
PYQ,ENT,NEET PG 2020,9
PYQ,ENT,INI CET Nov 2025,8
PYQ,ENT,INI CET MAY 2025,6
PYQ,ENT,INI CET Nov 2024,10
PYQ,ENT,INI CET MAY 2024,5
PYQ,ENT,INI CET Nov 2023,6
PYQ,ENT,INI CET May 2023,5
PYQ,ENT,INI CET Nov 2022,9
PYQ,ENT,INI CET May 2022,4
PYQ,ENT,INI CET Nov 2021,2
PYQ,ENT,INI CET May 2021,8
PYQ,ENT,INI CET Nov 2020,7
PYQ,ENT,INI CET May 2020,5
Main,Ophthalmology,Conjunctiva (Part 1),26
Main,Ophthalmology,Conjunctiva (Part 2),26
Main,Ophthalmology,Basics,30
Main,Ophthalmology,Infectious Disorders,33
Main,Ophthalmology,Non-Infectious Disorders (Part 1),26
Main,Ophthalmology,Non-Infectious Disorders (Part 2),25
Main,Ophthalmology,Basics And Evaluation,30
Main,Ophthalmology,Glaucoma- POAG And PACG (Part 1),21
Main,Ophthalmology,Secondary Glaucoma And Congenital Glaucoma,26
