subject,topic,question_count
Pediatrics,Antenatal Hydronephrosis & Hemolytic Uremic Syndrome,10
Pediatrics,Congenital Nephrotic Syndrome & AKI (ARF),21
Pediatrics,"UTI, VUR, PUV & Uretrocele",23
Pediatrics,Wilm's Tumor & Congenital Renal Cysts,15
Pediatrics,Leukemia,6
Pediatrics,"Transient Myeloproliferative Disorder & Lymphoma (Hl, NHL)",7
Pediatrics,"Neuroblastoma, LCH & Retinoblastoma",5
Pediatrics,Juvenile Idiopatic Arthritis,9
Pediatrics,"SLE, Juvenile Dermatomyositis & Scleroderma",15
Pediatrics,Vasculitis in Childhood,13
Pediatrics,Esophageal Disorders & Foreign Body Ingestion,6
Pediatrics,Hypertrophic Pyloric Stenosis & Hirschsprung Disease,4
Pediatrics,"IBD, Diarrhea & Dehydration Management",15
Pediatrics,"Malabsorption, Celiac Disease & Liver Disorders",10
Pediatrics,APGAR & Primitive Reflexes,16
Pediatrics,General Neonatology,21
Pediatrics,Hyaline Membrane Disease & TTNB,23
Pediatrics,"Infants of Diabetic Mothers, Neonatal Sepsis & Benign Lesions",17
Pediatrics,Metabolic Disorders,17
Pediatrics,Neonatal Jaundice,16
Pediatrics,Neonatal Resuscitation,13
Pediatrics,Other Breathing Disorders in Newborns,11
Pediatrics,Perinatal Asphyxia & NEC,14
Pediatrics,Preterm (IUGR),6
Pediatrics,"Specific Vaccines, Vaccines in Special Situations & Cold Storage of Vaccines",14
Pediatrics,"Immunization Basics, Types & Immunization Schedules",15
Pediatrics,Disorders Of Carbohydrate Metabolism,8
Pediatrics,Disorders Of Protein Metabolism,15
Pediatrics,"Lysosomal Storage Disorders, Peroxisomal Disorders & Leukodystrophy",10
Pharmacology,Histamine & Antihistamines,5
Pharmacology,NSAIDs,11
Pharmacology,Pharmacotherapy Of Gout,9
Pharmacology,Pharmacotherapy Of Rheumatoid Arthritis,5
Pharmacology,Prostaglandin Preparations,9
Pharmacology,Serotonin Pharmacology & Migraine,13
Pharmacology,pH & Ionization,2
Pharmacology,Adverse Drug Reactions,10
Pharmacology,Clinical Pharmacology,12
Pharmacology,Clinical Trial,15
Pharmacology,Pharmacodynamics,11
Pharmacology,Pharmacogenetics,24
Pharmacology,PK Absorption,8
Pharmacology,Pk Drug Distribution,5
Pharmacology,Pk Drug Excretion,9
Pharmacology,Pk Drug Metabolism,6
Pharmacology,"Rational Prescribing,Essential Medicine & Ebm",4
Pharmacology,Therapeutic Drug Monitoring,8
Pharmacology,Antidiuretic Drugs,7
Pharmacology,Diuretics,24
Pharmacology,Adrenergic Drugs,17
Pharmacology,Alpha Blockers,16
Pharmacology,Anticholinergic Drugs,10
Pharmacology,Beta Blockers,18
Pharmacology,Cholinergic Drugs Part -1,11
Pharmacology,Cholinergic Drugs Part -2,4
Pharmacology,Drugs Acting on Ganglia & Anti Smoking Drugs,7
Pharmacology,Pharmacotherapy Of Glaucoma,11
Pharmacology,Anticoagulant Drugs,22
Pharmacology,Antiplatelet Drugs,12
Pharmacology,Drugs For Dyslipidemia,8
Pharmacology,Fibrinolytics And Antifibrinolytics,5
Pharmacology,Hemantinics,8
Pharmacology,Anti -Thyroid Drugs & Drugs Used in Hypothyroidism,14
Pharmacology,Antidiabetic Drugs (Insulin Preparations),5
Pharmacology,Antidiabetic Drugs(Remaining Drugs & Summary),21
Pharmacology,Corticosteroids Clinical Concepts,12
Pharmacology,Corticosteroids Therapeutic Uses,10
Pharmacology,Estrogen & Progesterone Preparations,21
Pharmacology,Hormonal Contraceptives,11
Pharmacology,Hypothalamus And Pituitary Hormones Pharmacology,14
Pharmacology,"Pharmacotherapy of BPH, ED & Androgen Receptor Antagonists",5
Pharmacology,Pharmacotherapy Of Osteoporosis,9
Pharmacology,Testosterone Pharmacology,6
Pharmacology,Anti Anginal Drugs,22
Pharmacology,Antiarrythmics Drugs Part 1,8
Pharmacology,Antiarrythmics Drugs Part 2,5
Pharmacology,Drugs Affecting RAAS Pathway,13
Pharmacology,Pharmacotherapy Of CHF,16
Pharmacology,Pharmacotherapy Of Hypertension,18
Pharmacology,Antiemetic Drugs,17
Pharmacology,Drugs For Peptic Ulcer Disease,13
Pharmacology,Drugs Used For Constipation,12
Pharmacology,Drugs Used For Diarrhea,12
Pharmacology,Drugs For Pulmonary Hypertension,3
Pharmacology,Pharmacotherapy of Bronchial Asthma,37
Pharmacology,Drugs For Cough,5
Pharmacology,Immunomodulator Drugs,13
Pharmacology,Treatment Of Leprosy And Mac,2
Pharmacology,Anti Helmintic Drug,4
Pharmacology,Anti HIV Drugs,13
Pharmacology,Anti Protozoal Drugs,22
Pharmacology,Anti TB Drugs,13
Pharmacology,Anti Viral Drugs,16
Pharmacology,Antifungal Drugs,8
Pharmacology,Antimalarial Drugs,9
Pharmacology,Hormonal Agents & Tyrosine Kinase Inhibitors,14
Pharmacology,Introduction & DNA Alkylating Agents,20
Pharmacology,Platinum Compounds & Antibiotics,11
Pharmacology,S & M Phase Specific Drugs,12
Pharmacology,Small Molecule Inhibitors,5
Pharmacology,Targeted Therapy,8
Pharmacology,Skeletal Muscle Relaxants,1
Pharmacology,Anti Parkinson’s Drugs,16
Pharmacology,Antidepressant Drugs,20
Pharmacology,Antiepileptic Drugs,14
Pharmacology,Drugs For Anxiety,7
Pharmacology,Ethanol Pharmacology,7
Pharmacology,Local Anesthesia,11
Pharmacology,Opioids,20
Pharmacology,Pharmacotherapy of Mania & BPD,6
Pharmacology,Sedative Hypnotic Drugs,10
Pharmacology,Antipsychotic Drugs,20
Pharmacology,Aminoglycosides & Oxazolidinones,7
Pharmacology,"Cephalosporins, Carbapenems & Monobactams",22
Pharmacology,Drugs For UTI,6
Pharmacology,Fluroquinolones,6
Pharmacology,"Glycopeptides, Lipopeptides & Polymyxins",6
Pharmacology,"Macrolides ,Lincosamides & Streptogramins",12
Pharmacology,Penicillins,10
Pharmacology,Sulfonamides,7
Pharmacology,"Tetracycline, And Chloramphenicol",13
Radiology,Head & Neck Imaging,7
Radiology,Women Imaging,11
Radiology,Neuroradiology (Part 2),13
Radiology,Mammography,16
Radiology,Basics and Fundamentals of CT,24
Radiology,Nuclear Medicine,16
Radiology,Radiological Anatomy,9
Radiology,Introduction to Radiology & Basics of Investigations,19
Radiology,Contrast Agents in Radiology,11
Radiology,Basics of Ultrasound,34
Radiology,Radiation Hazards & Protection,6
Radiology,Radiotherapy,8
Radiology,GI Radiology,20
Radiology,GU Radiology,26
Anesthesia,General Anesthesia - Introduction,5
Anesthesia,Preoperative Assessment,30
Anesthesia,Critical Care,35
Anesthesia,Central Neuraxial Block,49
Anesthesia,Anesthesia & Co-Existing Diseases,60
Anesthesia,General Anesthesia - IV Anesthetics,60
Anesthesia,Local Anesthetics,40
Anesthesia,Intraoperative Fluids,14
Anesthesia,General Anesthesia - Muscle Relaxants,35
Anesthesia,Peripheral Nerve Blocks,15
Anesthesia,Cardio - Pulmonary Resuscitation (CPR),30
Anesthesia,Anesthesia Delivery Systems,39
Anesthesia,Specialty Management,60
Anesthesia,Anesthesia Equipment,50
Anesthesia,General Anesthesia - Inhalational Agents,50
Anesthesia,General Anesthesia - Complications,34
Anesthesia,History of Anesthesia,5
Anesthesia,Monitoring In Anesthesia,51
Physiology,Basics of ECG Understanding,7
Physiology,Bradyarrhythmias,2
Physiology,Cardiac Muscle,11
Physiology,Coronary Blood Flow,6
Physiology,Excitation Conduction Cardiac Vectors,20
Physiology,Localization of Myocardial Damage with ECG,6
Physiology,Normal ECG,13
Physiology,Membrane Potentials,15
Physiology,Transport Across Membrane (Part 1),7
Physiology,Transport Across Membrane (Part 2),11
Physiology,Nerve Fiber Classification,8
Physiology,"Structure, Channels, Myelination & Conduction",26
Physiology,Olfaction & Taste,5
Physiology,Physiology of Audition,5
Physiology,Physiology Of Vision,5
Physiology,Neuro Muscular Junction & Muscle Contraction,9
Physiology,Pathophysiology of Muscle Contraction,9
Physiology,Structure of Skeletal Muscle Cell,6
Physiology,Types of Muscle Fibers,6
Physiology,Cell & General Physiology,17
Physiology,Cardiac Output (Integrated) (Part 1),17
Physiology,Cardiac Output (Integrated) (Part 2),21
Physiology,Cardiovascular Regulation & Reflexes,14
Physiology,"Pressure, Flow & Resistance",24
Physiology,Vasculature,7
Physiology,Basics,5
Physiology,Gas Exchange,11
Physiology,Gas Exchange - V/Q Ratio,3
Physiology,Hypoxia,4
Physiology,Pulmonary Vasculature,8
Physiology,Pulmonary Ventilation - Compliance & Surface Tension,8
Physiology,Pulmonary Ventilation - Lung Volume & Capacities,10
Physiology,Pulmonary Ventilation - Minute Ventilation & Dead Spaces,3
Physiology,Pulmonary Ventilation - Obstructive Vs Restrictive Lung Disease,4
Physiology,"Pulmonary Ventilation - Respiratory Muscles, Pressures",5
Physiology,Regulation Of Respiration,5
Physiology,Transport of Gases,4
Physiology,Acid Base Balance,16
Physiology,Body Fluids,15
Physiology,Glomerulus,30
Physiology,Nephron Structure,16
Physiology,Tubular Functions,27
Physiology,Platelets & Homeostasis,9
Physiology,RBC (Part 1),4
Physiology,RBC (Part 2),5
Physiology,WBC & Immunity,6
Physiology,Basal Ganglia & Cerebellum,21
Physiology,Integrative Neurophysiology - Cerebral Cortex,13
Physiology,Integrative Neurophysiology - Learning & Memory,10
Physiology,Integrative Neurophysiology – Sleep & EEG,12
Physiology,Motor Functions,6
Physiology,Sensory Functions,9
Physiology,Integrative Neurophysiology - Thalamus & Hypothalamus,18
Physiology,ADH,7
Physiology,Calcium Metabolism,7
Physiology,Female Reproductive Hormones,6
Physiology,Glucocorticoid,4
Physiology,Insulin,7
Physiology,Introduction to Endocrinology,6
Physiology,Male Reproductive Hormones,6
Physiology,Mineralocorticoid,4
Physiology,Physiology of Pregnancy,6
Physiology,Prolactin,3
Physiology,Thyroid Axis,10
Physiology,Physiology of GIT,27
Physiology,Swallowing & Esophagus,8
Anatomy,Gametogenesis,19
Anatomy,"Somites, Lateral Plate Mesoderm & Neural Crest Cells",12
Anatomy,Bilaminar Germ Disk Formation & Gastrulation,10
Anatomy,Fertilization & Implantation,6
Anatomy,Arterial Supply of Heart,7
Anatomy,"Cardiac Plexus, Thoracic Duct, Esophagus & Posterior Mediastinum",15
Anatomy,Heart - External Features,7
Anatomy,Inlet Of Thorax & Diaphragm,6
Anatomy,Interior of Right Atrium & Right Ventricle,7
Anatomy,Lungs - Mediastinal Surface & Bronchopulmonary Segments,7
Anatomy,Pericardium & Pericardial Sinuses,7
Anatomy,Pleura & Recesses,6
Anatomy,"Thoracic Wall - Muscles, Nerves & Vessels",13
Anatomy,Anterior Compartment of Thigh & Femoral Nerve,14
Anatomy,Arches of Foot,6
Anatomy,Fascia Lata & Modifications,7
Anatomy,"Flexor, Extensor & Peroneal Retinaculum",7
Anatomy,Gluteal Region,4
Anatomy,Hamstring Compartment & Anastomosis,8
Anatomy,Leg Compartments,3
Anatomy,Lumbar Plexus,38
Anatomy,Medial Compartment of Thigh & Obturator Nerve,8
Anatomy,Osteology (Part 1),3
Anatomy,Osteology (Part 2),13
Anatomy,Popliteal Fossa,7
Anatomy,Sciatic Nerve,7
Anatomy,Sole of The Foot,7
Anatomy,"Blood Vessels of Head, Neck & Face",9
Anatomy,Cranial Nerve Nuclei & Columns,21
Anatomy,"Cranial nerves - IX, X, XI & XII Nerves",13
Anatomy,Deep Cervical Fascia,14
Anatomy,Glands - Parotid Gland,7
Anatomy,Glands - Thyroid Gland,5
Anatomy,Larynx,16
Anatomy,Osteology - Cranial Cavity,24
Anatomy,Parasympathetic Ganglion & Cranial Nerve - V,15
Anatomy,Pharynx,7
Anatomy,Posterior Triangle of The Neck,12
Anatomy,Subclavian Artery & Scalenous Anterior,7
Anatomy,Temporomandibular Joint & Muscles of Mastication,5
Anatomy,Anterior Triangles of The Neck,5
Anatomy,Blood Supply of Face,6
Anatomy,Cavernous Sinus,4
Anatomy,Cranial Duramater & Dural Venous Sinus,12
Anatomy,Cranial Nerve – VII,10
Anatomy,"Cranial Nerve - III, IV & VI",20
Anatomy,Blood Vessels - Axillary Artery & Anastomosis Around Scapula,22
Anatomy,Blood Vessels - Brachial Artery - Anastomosis Around Elbow,4
Anatomy,Brachial Plexus,16
Anatomy,Clavipectoral Fascia & Intermuscular Scapular Spaces,5
Anatomy,Cubital Fossa,6
Anatomy,Elbow Joint,6
Anatomy,Flexor & Extensor Retinaculum,6
Anatomy,Muscles of Hand,26
Anatomy,Osteology (Part 1),18
Anatomy,Radial Nerve,6
Anatomy,Shoulder Joint,13
Anatomy,Spaces in Hand,7
Anatomy,Ulnar Nerve,5
Anatomy,Median Nerve,5
Anatomy,Osteology (Part 2),12
Anatomy,Ascending Tracts,15
Anatomy,Auditory Pathway,7
Anatomy,Basal Ganglia,8
Anatomy,Blood Supply of Brain,8
Anatomy,Brainstem (Ventral & Dorsal View) & IV Ventricles,17
Anatomy,Brainstem Syndrome,15
Anatomy,Cerebellum,13
Anatomy,Cerebral Cortex,15
Anatomy,"Cerebrum - Homunculus, Histology & Diencephalon",8
Anatomy,Conus Medullaris & Cauda Equina Syndrome,9
Anatomy,Descending Tracts,14
Anatomy,General Neuroanatomy,17
Anatomy,Greymatter - Nuclei & Rexed Laminae,14
Anatomy,Lateral & Third Ventricles,10
Anatomy,Spinal Cord - External Features,18
Anatomy,Sympathetic Chain - Ramus Communicans,6
Anatomy,Thalamus & Connections,6
Anatomy,White Matter of Cerebrum (Part 1),14
Anatomy,White Matter of Cerebrum (Part 2),6
Anatomy,Ischiorectal Fossa,6
Anatomy,Kidney,11
Anatomy,Portal Vein & Portacaval Anastomosis,11
Anatomy,"Aorta, CT, SMA & IMA",14
Anatomy,Liver & Hepatic Segments,7
Anatomy,Peritoneum,5
Anatomy,Ureter,8
Anatomy,Urogenital Triangle,5
Anatomy,Abdominal Wall - 1 (Landmarks & Inguinal Canal),9
Anatomy,Abdominal Wall - 2 (Rectus Sheath & Thoracolumbar Fascia),8
Anatomy,"Collagen Fibers, Junctional Complexes, Cardiac & Skeletal Muscles & Types of Cartilages",11
Anatomy,Git & Liver Histology,7
Anatomy,Lining Epithelium,28
Anatomy,Lower Limb - Hip Bone,5
Anatomy,Lower Limb - Tibia & Fibula,7
Anatomy,Skull - Cranial Cavity,7
Anatomy,Skull - Norma Basalis,7
Anatomy,Upper Limb - Radius & Ulna,7
Anatomy,CVS Development - Arterial System,6
Anatomy,CVS Development - Heart Tube & Derivates,12
Anatomy,CVS Development - Interatrial & Interventricular Septum,10
Anatomy,CVS Development - Venous System,16
Anatomy,GIT Development - Foregut,6
Anatomy,GIT Development - Midgut,20
Anatomy,Hindgut & Urogenital System,15
Anatomy,HNF Development - Face & Palate,13
Anatomy,HNF Development - Pharyngeal Arches,19
Anatomy,"HNF Development - Tongue, Thyroid & Eyeball",12
Forensic Medicine,Counter Coup Lesions & Concussion,5
Forensic Medicine,Intracranical Haemorrhages,8
Forensic Medicine,Skull Fractures,10
Forensic Medicine,Traffic Accident Injuries,3
Forensic Medicine,"Vertebral Column, Heart & Abdomen",4
Forensic Medicine,Forensic Psychiatry,15
Forensic Medicine,Classification Of Sexual Offences & Rape,20
Forensic Medicine,Unnatural Sexual Offences & Perversions,12
Forensic Medicine,Introduction To Ballistics & Firearms,10
Forensic Medicine,Investigations Of Firearms,4
Forensic Medicine,Rifled Gun & It's Injuries,8
Forensic Medicine,Shotgun & It's injuries,6
Forensic Medicine,Age,15
Forensic Medicine,Finger Printing,6
Forensic Medicine,Hair & Other Methods of Identification,5
Forensic Medicine,Medico-Legal Importance of Age Groups,5
Forensic Medicine,Race,5
Forensic Medicine,Sex,6
Forensic Medicine,Stature,5
Forensic Medicine,Lie Detectors,5
Forensic Medicine,Agriculture Poisons,15
Forensic Medicine,Alcohol,10
Forensic Medicine,Asphyxiants,6
Forensic Medicine,Barbiturates & Chloral Hydrate,4
Forensic Medicine,Cardiac Poisons & Aconite,3
Forensic Medicine,Corrosives,8
Forensic Medicine,Deliriant Poisons,10
Forensic Medicine,Drug Dependence & Abuse,4
Forensic Medicine,Food Poisoning,2
Forensic Medicine,General Principles of Toxicology,15
Forensic Medicine,Heavy Metal Poisons,16
Forensic Medicine,Opium,5
Forensic Medicine,Phosphorous,9
Forensic Medicine,Snakes,10
Forensic Medicine,Spinal Poisons,2
Forensic Medicine,Vegetable Poisons,7
Forensic Medicine,Virginity & Pregnancy,8
Forensic Medicine,Burns,6
Forensic Medicine,Electrical Injuries,6
Forensic Medicine,Injuries Due To Cold & Heat,20
Forensic Medicine,Lightning Injuries & Scalds,5
Forensic Medicine,Drowning,10
Forensic Medicine,Hanging,12
Forensic Medicine,Ligature Strangulation & Throttling,10
Forensic Medicine,Other Forms Of Asphyxia,10
Forensic Medicine,Explosion Injuries,3
Forensic Medicine,"Adipocere, Mummification & Embalming",15
Forensic Medicine,Algor Mortis,10
Forensic Medicine,Classification of Postmortem Changes,15
Forensic Medicine,Death & It's Types,10
Forensic Medicine,Decomposition,8
Forensic Medicine,Eye Changes After Death,10
Forensic Medicine,Muscular Charges,6
Forensic Medicine,Post Mortem Hypostasis,10
Forensic Medicine,Time Since Death & Legal Aspects,6
Forensic Medicine,Definitions,10
Forensic Medicine,Live Birth,6
Forensic Medicine,"Syndromes-Battered Baby, Munchausen & SID's",10
Forensic Medicine,Blood & Seminal Stains,10
Forensic Medicine,Medico - Legal Autopsy,10
Forensic Medicine,Impotence & Sterility,6
Forensic Medicine,Medico-Legal Aspects of Injuries,10
Forensic Medicine,Abortion,4
Forensic Medicine,Abrasions,10
Forensic Medicine,Contusions,8
Forensic Medicine,Lacerations & Incised Wounds,8
Forensic Medicine,Stab Wounds,5
Forensic Medicine,Age Estimation By X-Ray Examination,6
Forensic Medicine,Consent & Euthanasia,6
Forensic Medicine,Defenses Against Negligence,10
Forensic Medicine,Important Concepts Related to Medical Negligence,10
Forensic Medicine,Infamous Conduct,8
Forensic Medicine,Professional Negligence,12
Forensic Medicine,Professional Secrecy & Privileged Communication,6
Forensic Medicine,Courts Of Law,8
Forensic Medicine,Definitions & Inquest,12
Forensic Medicine,Evidence,8
Forensic Medicine,Summons,3
Forensic Medicine,Witness,6